utm_campaign_name,marketing_event_type,marketing_event_target,orders,total_sales
09.14.17,,,1,188.00
June_12_2017_newsletter_June_collection,newsletter,,1,183.00
11.21.16,,,1,183.00
05_01_email_Shop_Mary_Pat_Image_1,,,1,178.00
Newsletter Footer,,,1,178.00
JC - Brand - Dresses (Phrase),,,1,178.00
5491a56044-EMAIL_CAMPAIGN_2017_08_30_Houston,,,2,178.00
JC - Non-Brand (Broad),,,1,178.00
06_1_Newsletter_lookbook.,,,1,178.00
04.06.17,,,1,178.00
July_17_2017_Newsletter_Separates,newsletter,email,1,178.00
03.23.17,,,1,178.00
JC - Brand (Broad),newsletter,,1,173.00
11.23.16 newsletter happy thanksgiving,,,4,170.20
8af7883762-EMAIL_CAMPAIGN_2017_09_14,,,1,168.00
eb5c444d7a-EMAIL_CAMPAIGN_2017_07_10,,,2,168.00
9b0ab788e7-EMAIL_CAMPAIGN_2017_06_27_Last_minute_looks,,,1,168.00
10.30.17,,,1,158.40
02.09.17,,,1,153.00
03.20.17 newsletter shop cashmere,,,4,150.00
10.17.16,,,1,148.50
11.25.16,,,1,148.00
11.21.16 newsletter shop final sale tops,,,2,143.20
12.1.16 newsletter shop sale bottoms,,,1,122.40
09_21_Shop_EOS,,,1,119.00
07.13.17,,,1,117.60
02.20.17,,,1,114.00
1ed9a5c2a6-3.24.16 - March Week 5,,,1,110.00
10_14_Drive2shop_Carousel,,,1,99.00
Holiday_12-14_AD4,,,1,99.00
WPB Holiday Sale,,,1,89.00
11.10.16,,,1,89.00
6232ce8d8d-EMAIL_CAMPAIGN_2017_08_17_FLASH,follow_up,,1,84.00
Traffic_August_Vid_1,,,1,80.10
09.12.17,,,1,80.10
JC - Non-Brand - Top Products,,,1,74.00
d88e0068ad-EMAIL_CAMPAIGN_2017_08_24_FLASH_Sale,follow_up,,1,74.00
November_launch_single_image,,,2,71.20
July_27_2017_Newsletter_Shop_Dresses,newsletter,,1,59.00
Pick_Pack_Wear_Video,,,1,30.00
12.12.16,,,1,20.00
10.13.16,,,1,0.00
12.8.16 newsletter holiday dressing,,,1,0.00
1bc67b00fd-EMAIL_CAMPAIGN_2017_08_14,,,1,0.00
JAN_5_Fiona_3rdPanel,,,1,0.00
01.26.17 newsletter shop cashmere,,,1,0.00
