# ----------------------------------------
# rebeccaminkoff.com
# Channels
# 20160209-20171108
# ----------------------------------------

Source / Medium,Date,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
ls / affiliate,20170323,"25,849",47.66%,"12,320",25.39%,4.72,00:04:57,1.76%,456,"$61,924.68"
(direct) / (none),20160328,"25,118",88.26%,"22,170",49.18%,1.36,00:00:28,0.10%,25,"$8,428.75"
ls / affiliate,20170809,"24,733",53.35%,"13,194",24.37%,4.88,00:05:06,2.71%,671,"$93,312.88"
(direct) / (none),20171030,"24,617",70.85%,"17,440",35.96%,5.11,00:05:45,3.62%,892,"$149,799.05"
bm23 / email,20161031,"24,611",29.33%,"7,218",29.70%,4.56,00:04:04,1.35%,332,"$55,184.76"
ls / affiliate,20170622,"24,499",49.18%,"12,048",25.95%,4.12,00:04:22,1.91%,469,"$53,032.37"
bm23 / email,20170927,"24,495",17.18%,"4,209",49.25%,2.88,00:02:10,0.37%,91,"$14,895.20"
bm23 / email,20161027,"24,407",23.05%,"5,625",27.89%,5.29,00:04:55,1.52%,371,"$55,537.12"
bm23 / email,20170511,"24,063",26.34%,"6,339",27.28%,5.15,00:05:02,1.23%,297,"$49,945.30"
google / cpc,20161125,"23,835",44.26%,"10,550",15.61%,6.23,00:05:31,3.59%,856,"$136,528.55"
(direct) / (none),20160325,"23,741",87.07%,"20,672",51.88%,1.49,00:00:41,0.06%,15,"$4,680.44"
(direct) / (none),20160327,"23,718",87.99%,"20,869",48.44%,1.34,00:00:27,0.08%,18,"$4,840.97"
bm23 / email,20170515,"23,619",28.40%,"6,707",25.16%,5.15,00:05:01,2.09%,493,"$78,419.67"
(direct) / (none),20160330,"23,596",87.45%,"20,635",45.44%,1.34,00:00:29,0.11%,26,"$5,058.77"
ls / affiliate,20161027,"23,592",44.26%,"10,442",29.93%,4.44,00:04:24,2.60%,613,"$91,279.70"
bm23 / email,20160901,"23,265",26.44%,"6,151",25.33%,5.87,00:05:21,1.34%,312,"$50,979.98"
(direct) / (none),20160329,"23,225",87.72%,"20,373",47.36%,1.35,00:00:28,0.06%,15,"$4,161.24"
ls / affiliate,20170114,"23,155",44.16%,"10,225",22.73%,4.64,00:04:09,2.08%,482,"$45,004.26"
(direct) / (none),20160326,"22,762",87.71%,"19,965",47.30%,1.40,00:00:30,0.07%,17,"$3,850.79"
(direct) / (none),20171029,"22,706",72.19%,"16,392",38.31%,4.83,00:05:21,2.25%,511,"$87,976.49"
ls / affiliate,20170223,"22,386",54.52%,"12,204",33.88%,3.37,00:03:03,1.17%,263,"$37,337.22"
Rebecca Minkoff Newsletter / email,20160511,"22,277",15.51%,"3,456",19.02%,5.69,00:05:51,1.82%,406,"$71,946.50"
cj / affiliate,20160728,"22,091",41.65%,"9,201",26.88%,4.23,00:04:34,1.59%,352,"$45,333.57"
ls / affiliate,20171025,"21,638",66.12%,"14,308",50.88%,2.96,00:03:00,1.99%,430,"$71,968.83"
ls / affiliate,20170205,"21,383",59.58%,"12,739",38.46%,1.99,00:01:19,0.46%,98,"$21,987.80"
ls / affiliate,20170601,"21,343",48.79%,"10,413",20.92%,5.61,00:06:27,4.84%,"1,034","$132,102.28"
ls / affiliate,20170222,"21,327",53.77%,"11,467",30.99%,3.77,00:03:27,1.16%,247,"$48,773.48"
ls / affiliate,20170531,"21,290",55.80%,"11,879",15.73%,4.66,00:04:51,3.34%,711,"$100,751.09"
ls / affiliate,20161219,"21,106",46.30%,"9,773",21.79%,5.00,00:05:21,2.05%,433,"$59,909.36"
Rebecca Minkoff Newsletter / email,20160530,"20,932",14.31%,"2,995",17.38%,3.26,00:02:55,0.64%,134,"$18,813.45"
bm23 / email,20170420,"20,914",29.26%,"6,119",23.28%,4.45,00:03:53,0.80%,167,"$25,917.38"
google / cpc,20161128,"20,819",42.23%,"8,791",11.35%,6.76,00:05:41,4.43%,923,"$142,079.69"
(direct) / (none),20160324,"20,751",85.21%,"17,682",49.42%,1.73,00:00:56,0.14%,29,"$7,591.80"
(direct) / (none),20160331,"20,660",86.31%,"17,832",38.60%,1.37,00:00:29,0.13%,26,"$4,963.02"
bm23 / email,20161227,"20,597",23.96%,"4,935",23.40%,6.07,00:05:35,1.81%,373,"$50,657.97"
facebook / paidsocial,20160511,"20,550",40.97%,"8,419",11.71%,5.45,00:05:02,1.30%,267,"$45,902.05"
eean / affiliate,20160224,"20,457",52.13%,"10,665",32.37%,5.04,00:06:14,1.76%,360,"$54,782.19"
